[SYS] 2025/04/02 - 10:37:58 | New API v0.0.0 started 
[SYS] 2025/04/02 - 10:37:58 | using MySQL as database 
[SYS] 2025/04/02 - 10:37:58 | database migration started 
[SYS] 2025/04/02 - 10:38:00 | database migrated 
[SYS] 2025/04/02 - 10:38:00 | using MySQL as database 
[SYS] 2025/04/02 - 10:38:00 | database migration started 
[SYS] 2025/04/02 - 10:38:00 | Redis is enabled 
[SYS] 2025/04/02 - 10:38:00 | memory cache enabled 
[SYS] 2025/04/02 - 10:38:00 | sync frequency: 60 seconds 
[SYS] 2025/04/02 - 10:38:00 | channels synced from database 
[SYS] 2025/04/02 - 10:38:00 | batch update enabled with interval 5s 
[SYS] 2025/04/02 - 10:38:00 | pprof enabled 
[SYS] 2025/04/02 - 10:38:00 | initializing token encoders 
[SYS] 2025/04/02 - 10:38:00 | 正在更新数据看板数据... 
[SYS] 2025/04/02 - 10:38:00 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/04/02 - 10:38:01 | token encoders initialized 
[SYS] 2025/04/02 - 10:38:01 | FRONTEND_BASE_URL is ignored on master node 
[SYS] 2025/04/02 - 10:38:05 | batch update started 
[SYS] 2025/04/02 - 10:38:05 | batch update finished 
[SYS] 2025/04/02 - 10:38:10 | batch update started 
[SYS] 2025/04/02 - 10:38:10 | batch update finished 
[SYS] 2025/04/02 - 10:38:15 | 任务进度轮询开始 
[SYS] 2025/04/02 - 10:38:15 | batch update started 
[SYS] 2025/04/02 - 10:38:15 | batch update finished 
[SYS] 2025/04/02 - 10:38:15 | 任务进度轮询完成 
[SYS] 2025/04/02 - 10:38:21 | batch update started 
[SYS] 2025/04/02 - 10:38:21 | batch update finished 
[SYS] 2025/04/02 - 10:38:26 | batch update started 
[SYS] 2025/04/02 - 10:38:26 | batch update finished 
[SYS] 2025/04/02 - 10:38:31 | batch update started 
[SYS] 2025/04/02 - 10:38:31 | batch update finished 
[SYS] 2025/04/02 - 10:38:31 | 任务进度轮询开始 
[SYS] 2025/04/02 - 10:38:31 | 任务进度轮询完成 
[GIN] 2025/04/02 - 10:38:35 | 20250402103835638585938wlqcEY6R | 200 |    1.000243ms |             ::1 |     GET /api/user/logout
[SYS] 2025/04/02 - 10:38:36 | batch update started 
[SYS] 2025/04/02 - 10:38:36 | batch update finished 
[SYS] 2025/04/02 - 10:38:41 | batch update started 
[SYS] 2025/04/02 - 10:38:41 | batch update finished 
[SYS] 2025/04/02 - 10:38:46 | batch update started 
[SYS] 2025/04/02 - 10:38:46 | batch update finished 
[SYS] 2025/04/02 - 10:38:46 | 任务进度轮询开始 
[SYS] 2025/04/02 - 10:38:46 | 任务进度轮询完成 
[SYS] 2025/04/02 - 10:38:53 | batch update started 
[SYS] 2025/04/02 - 10:38:53 | batch update finished 
[SYS] 2025/04/02 - 10:38:58 | batch update started 
[SYS] 2025/04/02 - 10:38:58 | batch update finished 
[SYS] 2025/04/02 - 10:39:03 | syncing channels from database 
[SYS] 2025/04/02 - 10:39:03 | syncing options from database 
[SYS] 2025/04/02 - 10:39:03 | channels synced from database 
[SYS] 2025/04/02 - 10:39:03 | 任务进度轮询开始 
[SYS] 2025/04/02 - 10:39:03 | 任务进度轮询完成 
[SYS] 2025/04/02 - 10:39:03 | batch update started 
[SYS] 2025/04/02 - 10:39:03 | batch update finished 
[SYS] 2025/04/02 - 10:39:08 | batch update started 
[SYS] 2025/04/02 - 10:39:08 | batch update finished 
[SYS] 2025/04/02 - 10:39:13 | batch update started 
[SYS] 2025/04/02 - 10:39:13 | batch update finished 
[SYS] 2025/04/02 - 10:39:18 | 任务进度轮询开始 
[SYS] 2025/04/02 - 10:39:18 | 任务进度轮询完成 
[SYS] 2025/04/02 - 10:39:18 | batch update started 
[SYS] 2025/04/02 - 10:39:18 | batch update finished 
[SYS] 2025/04/02 - 10:39:24 | batch update started 
[SYS] 2025/04/02 - 10:39:24 | batch update finished 
[SYS] 2025/04/02 - 10:39:29 | batch update started 
[SYS] 2025/04/02 - 10:39:29 | batch update finished 
[GIN] 2025/04/02 - 10:39:30 | 20250402103930362194825XI4rMeRz | 307 |   10.993518ms |             ::1 |     GET /api/auth/google/login
[GIN] 2025/04/02 - 10:39:32 | 20250402103930822580433LOc3yZqd | 303 |  1.754459465s |             ::1 |     GET /auth/google/callback?state=random_state&code=4%2F0AQSTgQEhIFAgG0Oo9ID3vVTbgfjlPVHcc6Gut8TUIQntdidhfvCXyaBS_T17_xLG3qGomg&scope=email+profile+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.email+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.profile+openid&authuser=0&prompt=none
[GIN] 2025/04/02 - 10:39:32 | 20250402103932584484810eXMcGK75 | 200 |   19.123675ms |             ::1 |     GET /login?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6Imtpbmdzb2JlY0BnbWFpbC5jb20iLCJleHAiOjE3NDM2NzMxNzIsImlkIjozfQ.0TPJ3dp0daz5Tf17tU_xFHn9Wba2uqrkN4I-ODRypaE
[SYS] 2025/04/02 - 10:39:34 | 任务进度轮询开始 
[SYS] 2025/04/02 - 10:39:34 | 任务进度轮询完成 
[SYS] 2025/04/02 - 10:39:34 | batch update started 
[SYS] 2025/04/02 - 10:39:34 | batch update finished 
[GIN] 2025/04/02 - 10:39:35 | 20250402103935161512530D7sp2iar | 200 |    9.253327ms |             ::1 |     GET /api/user/self
[GIN] 2025/04/02 - 10:39:35 | 20250402103935163328739Eu8X0Wrt | 200 |   19.395146ms |             ::1 |     GET /api/status
[GIN] 2025/04/02 - 10:39:35 | 20250402103935646278308UgOg41xV | 401 |    1.052551ms |             ::1 |     GET /api/user/models
[GIN] 2025/04/02 - 10:39:35 | 20250402103935646398266msWg7Frf | 401 |    2.029913ms |             ::1 |     GET /api/user/self/groups
[GIN] 2025/04/02 - 10:39:35 | 20250402103935668906106r3WIrjbV | 401 |     966.457µs |             ::1 |     GET /api/token/?p=0&size=10
[GIN] 2025/04/02 - 10:39:36 | 20250402103935854445001KueRtTc2 | 200 |  248.165272ms |             ::1 |     GET /login?expired=true
[GIN] 2025/04/02 - 10:39:37 | 20250402103937757224025Lbdn1jO6 | 200 |    1.041167ms |             ::1 |     GET /api/status
[SYS] 2025/04/02 - 10:39:39 | batch update started 
[SYS] 2025/04/02 - 10:39:39 | batch update finished 
[SYS] 2025/04/02 - 10:39:44 | batch update started 
[SYS] 2025/04/02 - 10:39:44 | batch update finished 
[SYS] 2025/04/02 - 10:39:49 | 任务进度轮询开始 
[SYS] 2025/04/02 - 10:39:49 | 任务进度轮询完成 
[SYS] 2025/04/02 - 10:39:49 | batch update started 
[SYS] 2025/04/02 - 10:39:49 | batch update finished 
[SYS] 2025/04/02 - 10:39:55 | batch update started 
[SYS] 2025/04/02 - 10:39:55 | batch update finished 
[SYS] 2025/04/02 - 10:40:00 | batch update started 
[SYS] 2025/04/02 - 10:40:00 | batch update finished 
[SYS] 2025/04/02 - 10:40:05 | syncing options from database 
[SYS] 2025/04/02 - 10:40:05 | syncing channels from database 
[SYS] 2025/04/02 - 10:40:05 | channels synced from database 
[SYS] 2025/04/02 - 10:40:05 | 任务进度轮询开始 
[SYS] 2025/04/02 - 10:40:05 | 任务进度轮询完成 
[SYS] 2025/04/02 - 10:40:05 | batch update started 
[SYS] 2025/04/02 - 10:40:05 | batch update finished 
[SYS] 2025/04/02 - 10:40:10 | batch update started 
[SYS] 2025/04/02 - 10:40:10 | batch update finished 
[SYS] 2025/04/02 - 10:40:15 | batch update started 
[SYS] 2025/04/02 - 10:40:15 | batch update finished 
[SYS] 2025/04/02 - 10:40:20 | 任务进度轮询开始 
[SYS] 2025/04/02 - 10:40:20 | 任务进度轮询完成 
[SYS] 2025/04/02 - 10:40:20 | batch update started 
[SYS] 2025/04/02 - 10:40:20 | batch update finished 
[SYS] 2025/04/02 - 10:40:27 | batch update started 
[SYS] 2025/04/02 - 10:40:27 | batch update finished 
[SYS] 2025/04/02 - 10:40:32 | batch update started 
[SYS] 2025/04/02 - 10:40:32 | batch update finished 
[SYS] 2025/04/02 - 10:40:37 | 任务进度轮询开始 
[SYS] 2025/04/02 - 10:40:37 | 任务进度轮询完成 
[SYS] 2025/04/02 - 10:40:37 | batch update started 
[SYS] 2025/04/02 - 10:40:37 | batch update finished 
[SYS] 2025/04/02 - 10:40:42 | batch update started 
[SYS] 2025/04/02 - 10:40:42 | batch update finished 
[SYS] 2025/04/02 - 10:40:47 | batch update started 
[SYS] 2025/04/02 - 10:40:47 | batch update finished 
[SYS] 2025/04/02 - 10:40:52 | 任务进度轮询开始 
[SYS] 2025/04/02 - 10:40:52 | 任务进度轮询完成 
[SYS] 2025/04/02 - 10:40:52 | batch update started 
[SYS] 2025/04/02 - 10:40:52 | batch update finished 
[SYS] 2025/04/02 - 10:40:58 | batch update started 
[SYS] 2025/04/02 - 10:40:58 | batch update finished 
[SYS] 2025/04/02 - 10:41:03 | batch update started 
[SYS] 2025/04/02 - 10:41:03 | batch update finished 
[SYS] 2025/04/02 - 10:41:08 | syncing options from database 
[SYS] 2025/04/02 - 10:41:08 | syncing channels from database 
[SYS] 2025/04/02 - 10:41:08 | channels synced from database 
[SYS] 2025/04/02 - 10:41:08 | 任务进度轮询开始 
[SYS] 2025/04/02 - 10:41:08 | 任务进度轮询完成 
[SYS] 2025/04/02 - 10:41:08 | batch update started 
[SYS] 2025/04/02 - 10:41:08 | batch update finished 
[SYS] 2025/04/02 - 10:41:13 | batch update started 
[SYS] 2025/04/02 - 10:41:13 | batch update finished 
[SYS] 2025/04/02 - 10:41:18 | batch update started 
[SYS] 2025/04/02 - 10:41:18 | batch update finished 
[SYS] 2025/04/02 - 10:41:23 | 任务进度轮询开始 
[SYS] 2025/04/02 - 10:41:23 | 任务进度轮询完成 
[SYS] 2025/04/02 - 10:41:23 | batch update started 
[SYS] 2025/04/02 - 10:41:23 | batch update finished 
[SYS] 2025/04/02 - 10:41:30 | batch update started 
[SYS] 2025/04/02 - 10:41:30 | batch update finished 
[SYS] 2025/04/02 - 10:41:35 | batch update started 
[SYS] 2025/04/02 - 10:41:35 | batch update finished 
[SYS] 2025/04/02 - 10:41:40 | 任务进度轮询开始 
[SYS] 2025/04/02 - 10:41:40 | 任务进度轮询完成 
[SYS] 2025/04/02 - 10:41:40 | batch update started 
[SYS] 2025/04/02 - 10:41:40 | batch update finished 
[SYS] 2025/04/02 - 10:41:45 | batch update started 
[SYS] 2025/04/02 - 10:41:45 | batch update finished 
[SYS] 2025/04/02 - 10:41:50 | batch update started 
[SYS] 2025/04/02 - 10:41:50 | batch update finished 
[SYS] 2025/04/02 - 10:41:55 | 任务进度轮询开始 
[SYS] 2025/04/02 - 10:41:55 | 任务进度轮询完成 
[SYS] 2025/04/02 - 10:41:55 | batch update started 
[SYS] 2025/04/02 - 10:41:55 | batch update finished 
[SYS] 2025/04/02 - 10:42:01 | batch update started 
[SYS] 2025/04/02 - 10:42:01 | batch update finished 
[SYS] 2025/04/02 - 10:42:06 | batch update started 
[SYS] 2025/04/02 - 10:42:06 | batch update finished 
[SYS] 2025/04/02 - 10:42:11 | syncing options from database 
[SYS] 2025/04/02 - 10:42:11 | syncing channels from database 
[SYS] 2025/04/02 - 10:42:11 | channels synced from database 
[SYS] 2025/04/02 - 10:42:11 | 任务进度轮询开始 
[SYS] 2025/04/02 - 10:42:11 | batch update started 
[SYS] 2025/04/02 - 10:42:11 | batch update finished 
[SYS] 2025/04/02 - 10:42:11 | 任务进度轮询完成 
[SYS] 2025/04/02 - 10:42:16 | batch update started 
[SYS] 2025/04/02 - 10:42:16 | batch update finished 
[SYS] 2025/04/02 - 10:42:21 | batch update started 
[SYS] 2025/04/02 - 10:42:21 | batch update finished 
[SYS] 2025/04/02 - 10:42:26 | batch update started 
[SYS] 2025/04/02 - 10:42:26 | batch update finished 
[SYS] 2025/04/02 - 10:42:26 | 任务进度轮询开始 
[SYS] 2025/04/02 - 10:42:26 | 任务进度轮询完成 
[SYS] 2025/04/02 - 10:42:32 | batch update started 
[SYS] 2025/04/02 - 10:42:32 | batch update finished 
[SYS] 2025/04/02 - 10:42:37 | batch update started 
[SYS] 2025/04/02 - 10:42:37 | batch update finished 
[SYS] 2025/04/02 - 10:42:42 | batch update started 
[SYS] 2025/04/02 - 10:42:42 | batch update finished 
[SYS] 2025/04/02 - 10:42:42 | 任务进度轮询开始 
[SYS] 2025/04/02 - 10:42:42 | 任务进度轮询完成 
[SYS] 2025/04/02 - 10:42:47 | batch update started 
[SYS] 2025/04/02 - 10:42:47 | batch update finished 
[SYS] 2025/04/02 - 10:42:52 | batch update started 
[SYS] 2025/04/02 - 10:42:52 | batch update finished 
[SYS] 2025/04/02 - 10:42:57 | batch update started 
[SYS] 2025/04/02 - 10:42:57 | batch update finished 
[SYS] 2025/04/02 - 10:42:57 | 任务进度轮询开始 
[SYS] 2025/04/02 - 10:42:57 | 任务进度轮询完成 
[SYS] 2025/04/02 - 10:43:04 | batch update started 
[SYS] 2025/04/02 - 10:43:04 | batch update finished 
[SYS] 2025/04/02 - 10:43:09 | batch update started 
[SYS] 2025/04/02 - 10:43:09 | batch update finished 
