[SYS] 2025/04/03 - 11:04:10 | New API v0.0.0 started 
[SYS] 2025/04/03 - 11:04:10 | using MySQL as database 
[SYS] 2025/04/03 - 11:04:10 | database migration started 
[SYS] 2025/04/03 - 11:04:10 | database migrated 
[SYS] 2025/04/03 - 11:04:10 | no user exists, create a root user for you: username is root, password is 123456 
[SYS] 2025/04/03 - 11:04:10 | using MySQL as database 
[SYS] 2025/04/03 - 11:04:10 | database migration started 
[SYS] 2025/04/03 - 11:04:10 | Redis is enabled 
[SYS] 2025/04/03 - 11:04:10 | memory cache enabled 
[SYS] 2025/04/03 - 11:04:10 | sync frequency: 60 seconds 
[SYS] 2025/04/03 - 11:04:10 | channels synced from database 
[SYS] 2025/04/03 - 11:04:10 | batch update enabled with interval 5s 
[SYS] 2025/04/03 - 11:04:10 | pprof enabled 
[SYS] 2025/04/03 - 11:04:10 | initializing token encoders 
[SYS] 2025/04/03 - 11:04:10 | 正在更新数据看板数据... 
[SYS] 2025/04/03 - 11:04:10 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/04/03 - 11:04:11 | token encoders initialized 
[SYS] 2025/04/03 - 11:04:11 | FRONTEND_BASE_URL is ignored on master node 
[SYS] 2025/04/03 - 11:04:17 | batch update started 
[SYS] 2025/04/03 - 11:04:17 | batch update finished 
[GIN] 2025/04/03 - 11:04:21 | 20250403110421674243735YWI6JPhm | 200 |   17.161425ms |             ::1 |     GET /login
[GIN] 2025/04/03 - 11:04:22 | 20250403110421946665157jjGAbk2J | 200 |  174.381613ms |             ::1 |     GET /assets/index-BzZnS6ID.js
[SYS] 2025/04/03 - 11:04:24 | batch update started 
[SYS] 2025/04/03 - 11:04:24 | batch update finished 
[GIN] 2025/04/03 - 11:04:24 | 202504031104248463232493Kh959I8 | 200 |      941.71µs |             ::1 |     GET /api/status
[SYS] 2025/04/03 - 11:04:29 | batch update started 
[SYS] 2025/04/03 - 11:04:29 | batch update finished 
[SYS] 2025/04/03 - 11:04:29 | 任务进度轮询开始 
[SYS] 2025/04/03 - 11:04:29 | 任务进度轮询完成 
[SYS] 2025/04/03 - 11:04:34 | batch update started 
[SYS] 2025/04/03 - 11:04:34 | batch update finished 
[GIN] 2025/04/03 - 11:04:39 | 20250403110438997834814gLgfyuk6 | 307 |    7.951118ms |             ::1 |     GET /api/auth/google/login
[SYS] 2025/04/03 - 11:04:39 | batch update started 
[SYS] 2025/04/03 - 11:04:39 | batch update finished 
[SYS] 2025/04/03 - 11:04:44 | batch update started 
[SYS] 2025/04/03 - 11:04:44 | batch update finished 
[SYS] 2025/04/03 - 11:04:44 | 任务进度轮询开始 
[SYS] 2025/04/03 - 11:04:44 | 任务进度轮询完成 
[GIN] 2025/04/03 - 11:04:47 | 20250403110445696024594j8sWs5pf | 303 |  1.691403592s |             ::1 |     GET /auth/google/callback?state=random_state&code=4%2F0AQSTgQHXX1y6QgEnG4IIMYsU5UGGdRlkVjXrnvtgg02ARZ2vI3ukq-3vr2bNPrOd6YOyCQ&scope=email+profile+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.profile+openid+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.email&authuser=0&prompt=none
[GIN] 2025/04/03 - 11:04:47 | 20250403110447401575647Xj5gz3M9 | 200 |   18.149136ms |             ::1 |     GET /login?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6Imtpbmdzb2JlY0BnbWFpbC5jb20iLCJleHAiOjE3NDYyNjY2ODcsImlkIjoxMCwicm5kIjoxNzQzNjc0Njg3Mzg2ODY2MzYyfQ.hgcXjBF8gmuN-6f8q3cDnG13KfrKgQ3RNNmgtQMxTlw
[SYS] 2025/04/03 - 11:04:52 | batch update started 
[SYS] 2025/04/03 - 11:04:52 | batch update finished 
[GIN] 2025/04/03 - 11:04:53 | 20250403110453218085125EF1oHkYJ | 200 |    9.179559ms |             ::1 |     GET /api/status
[GIN] 2025/04/03 - 11:04:53 | 20250403110453207414478Nmn4IIov | 200 |   21.377459ms |             ::1 |     GET /api/user/self
[GIN] 2025/04/03 - 11:04:53 | 20250403110453877086779ieWI7EBy | 401 |   56.697341ms |             ::1 |     GET /api/user/self/groups
[GIN] 2025/04/03 - 11:04:53 | 20250403110453872408362I3mDp3gx | 401 |     859.872µs |             ::1 |     GET /api/user/models
[GIN] 2025/04/03 - 11:04:54 | 2025040311045426273047ypZ0EdQZ | 401 |    2.047423ms |             ::1 |     GET /api/token/?p=0&size=10
[SYS] 2025/04/03 - 11:04:57 | batch update started 
[SYS] 2025/04/03 - 11:04:57 | batch update finished 
[SYS] 2025/04/03 - 11:05:02 | batch update started 
[SYS] 2025/04/03 - 11:05:02 | batch update finished 
[SYS] 2025/04/03 - 11:05:02 | 任务进度轮询开始 
[SYS] 2025/04/03 - 11:05:02 | 任务进度轮询完成 
[SYS] 2025/04/03 - 11:05:07 | batch update started 
[SYS] 2025/04/03 - 11:05:07 | batch update finished 
[SYS] 2025/04/03 - 11:05:12 | batch update started 
[SYS] 2025/04/03 - 11:05:12 | batch update finished 
[SYS] 2025/04/03 - 11:05:17 | syncing channels from database 
[SYS] 2025/04/03 - 11:05:17 | syncing options from database 
[SYS] 2025/04/03 - 11:05:17 | batch update started 
[SYS] 2025/04/03 - 11:05:17 | batch update finished 
[SYS] 2025/04/03 - 11:05:17 | channels synced from database 
[SYS] 2025/04/03 - 11:05:17 | 任务进度轮询开始 
[SYS] 2025/04/03 - 11:05:17 | 任务进度轮询完成 
[SYS] 2025/04/03 - 11:05:25 | batch update started 
[SYS] 2025/04/03 - 11:05:25 | batch update finished 
[SYS] 2025/04/03 - 11:05:30 | batch update started 
[SYS] 2025/04/03 - 11:05:30 | batch update finished 
[SYS] 2025/04/03 - 11:05:35 | batch update started 
[SYS] 2025/04/03 - 11:05:35 | batch update finished 
[SYS] 2025/04/03 - 11:05:35 | 任务进度轮询开始 
[SYS] 2025/04/03 - 11:05:35 | 任务进度轮询完成 
[SYS] 2025/04/03 - 11:05:40 | batch update started 
[SYS] 2025/04/03 - 11:05:40 | batch update finished 
[SYS] 2025/04/03 - 11:05:45 | batch update started 
[SYS] 2025/04/03 - 11:05:45 | batch update finished 
[SYS] 2025/04/03 - 11:05:50 | batch update started 
[SYS] 2025/04/03 - 11:05:50 | batch update finished 
[SYS] 2025/04/03 - 11:05:50 | 任务进度轮询开始 
[SYS] 2025/04/03 - 11:05:50 | 任务进度轮询完成 
[SYS] 2025/04/03 - 11:05:58 | batch update started 
[SYS] 2025/04/03 - 11:05:58 | batch update finished 
[SYS] 2025/04/03 - 11:06:03 | batch update started 
[SYS] 2025/04/03 - 11:06:03 | batch update finished 
[SYS] 2025/04/03 - 11:06:08 | batch update started 
[SYS] 2025/04/03 - 11:06:08 | batch update finished 
[SYS] 2025/04/03 - 11:06:08 | 任务进度轮询开始 
[SYS] 2025/04/03 - 11:06:08 | 任务进度轮询完成 
[SYS] 2025/04/03 - 11:06:13 | batch update started 
[SYS] 2025/04/03 - 11:06:13 | batch update finished 
[SYS] 2025/04/03 - 11:06:18 | batch update started 
[SYS] 2025/04/03 - 11:06:18 | batch update finished 
[SYS] 2025/04/03 - 11:06:23 | syncing options from database 
[SYS] 2025/04/03 - 11:06:23 | syncing channels from database 
[SYS] 2025/04/03 - 11:06:23 | batch update started 
[SYS] 2025/04/03 - 11:06:23 | batch update finished 
[SYS] 2025/04/03 - 11:06:23 | channels synced from database 
[SYS] 2025/04/03 - 11:06:23 | 任务进度轮询开始 
[SYS] 2025/04/03 - 11:06:23 | 任务进度轮询完成 
[SYS] 2025/04/03 - 11:06:31 | batch update started 
[SYS] 2025/04/03 - 11:06:31 | batch update finished 
[SYS] 2025/04/03 - 11:06:36 | batch update started 
[SYS] 2025/04/03 - 11:06:36 | batch update finished 
[SYS] 2025/04/03 - 11:06:41 | batch update started 
[SYS] 2025/04/03 - 11:06:41 | batch update finished 
[SYS] 2025/04/03 - 11:06:41 | 任务进度轮询开始 
[SYS] 2025/04/03 - 11:06:41 | 任务进度轮询完成 
[SYS] 2025/04/03 - 11:06:46 | batch update started 
[SYS] 2025/04/03 - 11:06:46 | batch update finished 
[SYS] 2025/04/03 - 11:06:51 | batch update started 
[SYS] 2025/04/03 - 11:06:51 | batch update finished 
[SYS] 2025/04/03 - 11:06:56 | batch update started 
[SYS] 2025/04/03 - 11:06:56 | batch update finished 
[SYS] 2025/04/03 - 11:06:56 | 任务进度轮询开始 
[SYS] 2025/04/03 - 11:06:56 | 任务进度轮询完成 
[SYS] 2025/04/03 - 11:07:04 | batch update started 
[SYS] 2025/04/03 - 11:07:04 | batch update finished 
[SYS] 2025/04/03 - 11:07:09 | batch update started 
[SYS] 2025/04/03 - 11:07:09 | batch update finished 
[SYS] 2025/04/03 - 11:07:14 | batch update started 
[SYS] 2025/04/03 - 11:07:14 | batch update finished 
[SYS] 2025/04/03 - 11:07:15 | 任务进度轮询开始 
[SYS] 2025/04/03 - 11:07:15 | 任务进度轮询完成 
[SYS] 2025/04/03 - 11:07:19 | batch update started 
[SYS] 2025/04/03 - 11:07:19 | batch update finished 
[SYS] 2025/04/03 - 11:07:24 | batch update started 
[SYS] 2025/04/03 - 11:07:24 | batch update finished 
[SYS] 2025/04/03 - 11:07:29 | syncing options from database 
[SYS] 2025/04/03 - 11:07:29 | syncing channels from database 
[SYS] 2025/04/03 - 11:07:29 | batch update started 
[SYS] 2025/04/03 - 11:07:29 | batch update finished 
[SYS] 2025/04/03 - 11:07:29 | channels synced from database 
[SYS] 2025/04/03 - 11:07:30 | 任务进度轮询开始 
[SYS] 2025/04/03 - 11:07:30 | 任务进度轮询完成 
[SYS] 2025/04/03 - 11:07:36 | batch update started 
[SYS] 2025/04/03 - 11:07:36 | batch update finished 
[SYS] 2025/04/03 - 11:07:43 | batch update started 
[SYS] 2025/04/03 - 11:07:43 | batch update finished 
[SYS] 2025/04/03 - 11:07:48 | batch update started 
[SYS] 2025/04/03 - 11:07:48 | batch update finished 
[SYS] 2025/04/03 - 11:07:48 | 任务进度轮询开始 
[SYS] 2025/04/03 - 11:07:48 | 任务进度轮询完成 
[SYS] 2025/04/03 - 11:07:53 | batch update started 
[SYS] 2025/04/03 - 11:07:53 | batch update finished 
[SYS] 2025/04/03 - 11:07:58 | batch update started 
[SYS] 2025/04/03 - 11:07:58 | batch update finished 
[SYS] 2025/04/03 - 11:08:03 | batch update started 
[SYS] 2025/04/03 - 11:08:03 | batch update finished 
[SYS] 2025/04/03 - 11:08:03 | 任务进度轮询开始 
[SYS] 2025/04/03 - 11:08:03 | 任务进度轮询完成 
[SYS] 2025/04/03 - 11:08:09 | batch update started 
[SYS] 2025/04/03 - 11:08:09 | batch update finished 
[SYS] 2025/04/03 - 11:08:16 | batch update started 
[SYS] 2025/04/03 - 11:08:16 | batch update finished 
[SYS] 2025/04/03 - 11:08:21 | batch update started 
[SYS] 2025/04/03 - 11:08:21 | batch update finished 
[SYS] 2025/04/03 - 11:08:21 | 任务进度轮询开始 
[SYS] 2025/04/03 - 11:08:21 | 任务进度轮询完成 
[SYS] 2025/04/03 - 11:08:26 | batch update started 
[SYS] 2025/04/03 - 11:08:26 | batch update finished 
[SYS] 2025/04/03 - 11:08:31 | batch update started 
[SYS] 2025/04/03 - 11:08:31 | batch update finished 
[SYS] 2025/04/03 - 11:08:36 | syncing options from database 
[SYS] 2025/04/03 - 11:08:36 | syncing channels from database 
[SYS] 2025/04/03 - 11:08:36 | channels synced from database 
[SYS] 2025/04/03 - 11:08:36 | batch update started 
[SYS] 2025/04/03 - 11:08:36 | batch update finished 
[SYS] 2025/04/03 - 11:08:36 | 任务进度轮询开始 
[SYS] 2025/04/03 - 11:08:36 | 任务进度轮询完成 
[SYS] 2025/04/03 - 11:08:42 | batch update started 
[SYS] 2025/04/03 - 11:08:42 | batch update finished 
[SYS] 2025/04/03 - 11:08:49 | batch update started 
[SYS] 2025/04/03 - 11:08:49 | batch update finished 
[SYS] 2025/04/03 - 11:08:54 | batch update started 
[SYS] 2025/04/03 - 11:08:54 | batch update finished 
[SYS] 2025/04/03 - 11:08:54 | 任务进度轮询开始 
[SYS] 2025/04/03 - 11:08:54 | 任务进度轮询完成 
[SYS] 2025/04/03 - 11:08:59 | batch update started 
[SYS] 2025/04/03 - 11:08:59 | batch update finished 
[SYS] 2025/04/03 - 11:09:04 | batch update started 
[SYS] 2025/04/03 - 11:09:04 | batch update finished 
[SYS] 2025/04/03 - 11:09:09 | batch update started 
[SYS] 2025/04/03 - 11:09:09 | batch update finished 
[SYS] 2025/04/03 - 11:09:09 | 任务进度轮询开始 
[SYS] 2025/04/03 - 11:09:09 | 任务进度轮询完成 
[SYS] 2025/04/03 - 11:09:15 | batch update started 
[SYS] 2025/04/03 - 11:09:15 | batch update finished 
[SYS] 2025/04/03 - 11:09:22 | batch update started 
[SYS] 2025/04/03 - 11:09:22 | batch update finished 
[SYS] 2025/04/03 - 11:09:27 | batch update started 
[SYS] 2025/04/03 - 11:09:27 | batch update finished 
[SYS] 2025/04/03 - 11:09:27 | 任务进度轮询开始 
[SYS] 2025/04/03 - 11:09:27 | 任务进度轮询完成 
[SYS] 2025/04/03 - 11:09:32 | batch update started 
[SYS] 2025/04/03 - 11:09:32 | batch update finished 
[SYS] 2025/04/03 - 11:09:37 | batch update started 
[SYS] 2025/04/03 - 11:09:37 | batch update finished 
[SYS] 2025/04/03 - 11:09:42 | 正在更新数据看板数据... 
[SYS] 2025/04/03 - 11:09:42 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/04/03 - 11:09:42 | syncing options from database 
[SYS] 2025/04/03 - 11:09:42 | syncing channels from database 
[SYS] 2025/04/03 - 11:09:42 | channels synced from database 
[SYS] 2025/04/03 - 11:09:42 | batch update started 
[SYS] 2025/04/03 - 11:09:42 | batch update finished 
[SYS] 2025/04/03 - 11:09:42 | 任务进度轮询开始 
[SYS] 2025/04/03 - 11:09:42 | 任务进度轮询完成 
[SYS] 2025/04/03 - 11:09:48 | batch update started 
[SYS] 2025/04/03 - 11:09:48 | batch update finished 
[SYS] 2025/04/03 - 11:09:55 | batch update started 
[SYS] 2025/04/03 - 11:09:55 | batch update finished 
[SYS] 2025/04/03 - 11:10:00 | batch update started 
[SYS] 2025/04/03 - 11:10:00 | batch update finished 
[SYS] 2025/04/03 - 11:10:01 | 任务进度轮询开始 
[SYS] 2025/04/03 - 11:10:01 | 任务进度轮询完成 
[SYS] 2025/04/03 - 11:10:05 | batch update started 
[SYS] 2025/04/03 - 11:10:05 | batch update finished 
[SYS] 2025/04/03 - 11:10:10 | batch update started 
[SYS] 2025/04/03 - 11:10:10 | batch update finished 
[SYS] 2025/04/03 - 11:10:15 | batch update started 
[SYS] 2025/04/03 - 11:10:15 | batch update finished 
[SYS] 2025/04/03 - 11:10:16 | 任务进度轮询开始 
[SYS] 2025/04/03 - 11:10:16 | 任务进度轮询完成 
[SYS] 2025/04/03 - 11:10:22 | batch update started 
[SYS] 2025/04/03 - 11:10:22 | batch update finished 
[SYS] 2025/04/03 - 11:10:29 | batch update started 
[SYS] 2025/04/03 - 11:10:29 | batch update finished 
[SYS] 2025/04/03 - 11:10:34 | batch update started 
[SYS] 2025/04/03 - 11:10:34 | batch update finished 
[SYS] 2025/04/03 - 11:10:34 | 任务进度轮询开始 
[SYS] 2025/04/03 - 11:10:34 | 任务进度轮询完成 
[SYS] 2025/04/03 - 11:10:39 | batch update started 
[SYS] 2025/04/03 - 11:10:39 | batch update finished 
[SYS] 2025/04/03 - 11:10:44 | batch update started 
[SYS] 2025/04/03 - 11:10:44 | batch update finished 
[SYS] 2025/04/03 - 11:10:48 | syncing options from database 
[SYS] 2025/04/03 - 11:10:49 | syncing channels from database 
[SYS] 2025/04/03 - 11:10:49 | channels synced from database 
[SYS] 2025/04/03 - 11:10:49 | batch update started 
[SYS] 2025/04/03 - 11:10:49 | batch update finished 
[SYS] 2025/04/03 - 11:10:49 | 任务进度轮询开始 
[SYS] 2025/04/03 - 11:10:49 | 任务进度轮询完成 
[SYS] 2025/04/03 - 11:10:55 | batch update started 
[SYS] 2025/04/03 - 11:10:55 | batch update finished 
[SYS] 2025/04/03 - 11:11:02 | batch update started 
[SYS] 2025/04/03 - 11:11:02 | batch update finished 
[SYS] 2025/04/03 - 11:11:07 | batch update started 
[SYS] 2025/04/03 - 11:11:07 | batch update finished 
[SYS] 2025/04/03 - 11:11:07 | 任务进度轮询开始 
[SYS] 2025/04/03 - 11:11:07 | 任务进度轮询完成 
[SYS] 2025/04/03 - 11:11:12 | batch update started 
[SYS] 2025/04/03 - 11:11:12 | batch update finished 
[SYS] 2025/04/03 - 11:11:17 | batch update started 
[SYS] 2025/04/03 - 11:11:17 | batch update finished 
[SYS] 2025/04/03 - 11:11:22 | batch update started 
[SYS] 2025/04/03 - 11:11:22 | batch update finished 
[SYS] 2025/04/03 - 11:11:22 | 任务进度轮询开始 
